2025-10-28 14:32:14, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 0, Flipped 2847702012, [+] System running normally
2025-10-28 14:53:16, Instruction: 0xffff800010ba66f0, Mem: 704775155, Flipped bit 31, Flipped 2852258803, [+] System running normally
2025-10-28 14:53:18, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 0, Flipped 704906229, [+] System running normally
2025-10-28 14:53:20, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 1, Flipped 704906230, [+] System running normally
2025-10-28 14:53:22, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 2, Flipped 704906224, [+] System running normally
2025-10-28 14:53:24, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 3, Flipped 704906236, [+] System running normally
2025-10-28 14:53:26, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 4, Flipped 704906212, [+] System running normally
2025-10-28 14:53:30, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 5, Flipped 704906196, [+] System running normally
2025-10-28 14:53:32, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 6, Flipped 704906164, [+] System running normally
2025-10-28 14:53:34, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 7, Flipped 704906100, [+] System running normally
2025-10-28 14:53:36, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 8, Flipped 704905972, [+] System running normally
2025-10-28 14:53:38, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 9, Flipped 704905716, [+] System running normally
2025-10-28 14:53:40, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 10, Flipped 704907252, [+] System running normally
2025-10-28 14:53:42, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 11, Flipped 704908276, [+] System running normally
2025-10-28 14:53:46, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 12, Flipped 704910324, [+] System running normally
2025-10-28 14:53:48, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 13, Flipped 704914420, [+] System running normally
2025-10-28 14:53:50, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 14, Flipped 704922612, [+] System running normally
2025-10-28 14:53:52, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 15, Flipped 704938996, [+] System running normally
2025-10-28 14:53:54, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 16, Flipped 704971764, [+] System running normally
2025-10-28 14:53:56, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 17, Flipped 705037300, [+] System running normally
2025-10-28 14:53:58, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 18, Flipped 704644084, [+] System running normally
2025-10-28 14:54:00, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 19, Flipped 705430516, [+] System running normally
2025-10-28 14:54:02, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 20, Flipped 705954804, [+] System running normally
2025-10-28 14:54:04, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 21, Flipped 707003380, [+] System running normally
2025-10-28 14:54:06, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 22, Flipped 709100532, [+] System running normally
2025-10-28 14:54:08, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 23, Flipped 713294836, [+] System running normally
2025-10-28 14:54:10, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 24, Flipped 721683444, [+] System running normally
2025-10-28 14:54:14, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 25, Flipped 671351796, [+] System running normally
2025-10-28 14:54:16, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 26, Flipped 772015092, [+] System running normally
2025-10-28 14:54:18, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 27, Flipped 570688500, [+] System running normally
2025-10-28 14:54:20, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 28, Flipped 973341684, [+] System running normally
2025-10-28 14:54:22, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 29, Flipped 168035316, [+] System running normally
2025-10-28 14:54:24, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 30, Flipped 1778648052, [+] System running normally
2025-10-28 14:54:26, Instruction: 0xffff800010ba66f4, Mem: 704906228, Flipped bit 31, Flipped 2852389876, [+] System running normally
2025-10-28 14:54:30, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 0, Flipped 3108025507, [+] System running normally
2025-10-28 14:54:32, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 1, Flipped 3108025504, [+] System running normally
2025-10-28 14:54:34, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 2, Flipped 3108025510, [+] System running normally
2025-10-28 14:54:36, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 3, Flipped 3108025514, [+] System running normally
2025-10-28 14:54:38, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 4, Flipped 3108025522, [+] System running normally
2025-10-28 14:54:40, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 5, Flipped 3108025474, [+] System running normally
2025-10-28 14:54:42, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 6, Flipped 3108025570, [+] System running normally
2025-10-28 14:54:44, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 7, Flipped 3108025378, [+] System running normally
2025-10-28 14:54:48, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 8, Flipped 3108025762, [+] System running normally
2025-10-28 14:54:50, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 9, Flipped 3108026018, [+] System running normally
2025-10-28 14:54:52, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 10, Flipped 3108024482, [+] System running normally
2025-10-28 14:54:54, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 11, Flipped 3108027554, [+] System running normally
2025-10-28 14:54:56, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 12, Flipped 3108021410, [+] System running normally
2025-10-28 14:54:58, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 13, Flipped 3108017314, [+] System running normally
2025-10-28 14:55:00, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 14, Flipped 3108041890, [+] System running normally
2025-10-28 14:55:03, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 15, Flipped 3107992738, [+] System running normally
2025-10-28 14:55:05, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 16, Flipped 3108091042, [+] System running normally
2025-10-28 14:55:07, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 17, Flipped 3108156578, [+] System running normally
2025-10-28 14:55:09, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 18, Flipped 3108287650, [+] System running normally
2025-10-28 14:55:11, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 19, Flipped 3108549794, [+] System running normally
2025-10-28 14:55:13, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 20, Flipped 3109074082, [+] System running normally
2025-10-28 14:55:15, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 21, Flipped 3110122658, [+] System running normally
2025-10-28 14:55:17, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 22, Flipped 3103831202, [+] System running normally
2025-10-28 14:55:19, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 23, Flipped 3116414114, [+] System running normally
2025-10-28 14:55:21, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 24, Flipped 3091248290, [+] System running normally
2025-10-28 14:55:23, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 25, Flipped 3141579938, [+] System running normally
2025-10-28 14:55:25, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 26, Flipped 3175134370, [+] System running normally
2025-10-28 14:55:29, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 27, Flipped 2973807778, [+] System running normally
2025-10-28 14:55:31, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 28, Flipped 2839590050, [+] System running normally
2025-10-28 14:55:35, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 29, Flipped 2571154594, [+] System running normally
2025-10-28 14:55:37, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 30, Flipped 4181767330, [+] System running normally
2025-10-28 14:55:39, Instruction: 0xffff800010ba66f8, Mem: 3108025506, Flipped bit 31, Flipped 960541858, [+] System running normally
2025-10-28 14:55:41, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 0, Flipped 2332164128, [+] System running normally
2025-10-28 14:55:45, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 1, Flipped 2332164131, [+] System running normally
2025-10-28 14:55:47, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 2, Flipped 2332164133, [+] System running normally
2025-10-28 14:55:49, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 3, Flipped 2332164137, [+] System running normally
2025-10-28 14:55:51, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 4, Flipped 2332164145, [+] System running normally
2025-10-28 14:55:53, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 5, Flipped 2332164097, [+] System running normally
2025-10-28 14:55:55, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 6, Flipped 2332164193, [+] System running normally
2025-10-28 14:55:59, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 7, Flipped 2332164257, [+] System running normally
2025-10-28 14:56:01, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 8, Flipped 2332164385, [+] System running normally
2025-10-28 14:56:03, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 9, Flipped 2332164641, [+] System running normally
2025-10-28 14:56:05, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 10, Flipped 2332165153, [+] System running normally
2025-10-28 14:56:07, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 11, Flipped 2332166177, [+] System running normally
2025-10-28 14:56:09, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 12, Flipped 2332168225, [+] System running normally
2025-10-28 14:56:11, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 13, Flipped 2332172321, [+] System running normally
2025-10-28 14:56:13, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 14, Flipped 2332180513, [+] System running normally
2025-10-28 14:56:15, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 15, Flipped 2332196897, [+] System running normally
2025-10-28 14:56:17, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 16, Flipped 2332229665, [+] System running normally
2025-10-28 14:56:21, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 17, Flipped 2332033057, [+] System running normally
2025-10-28 14:56:23, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 18, Flipped 2332426273, [+] System running normally
2025-10-28 14:56:25, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 19, Flipped 2332688417, [+] System running normally
2025-10-28 14:56:27, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 20, Flipped 2333212705, [+] System running normally
2025-10-28 14:56:29, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 21, Flipped 2334261281, [+] System running normally
2025-10-28 14:56:31, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 22, Flipped 2336358433, [+] System running normally
2025-10-28 14:56:33, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 23, Flipped 2340552737, [+] System running normally
2025-10-28 14:56:35, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 24, Flipped 2315386913, [+] System running normally
2025-10-28 14:56:37, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 25, Flipped 2298609697, [+] System running normally
2025-10-28 14:56:39, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 26, Flipped 2399272993, [+] System running normally
2025-10-28 14:56:41, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 27, Flipped 2197946401, [+] System running normally
2025-10-28 14:56:43, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 28, Flipped 2600599585, [+] System running normally
2025-10-28 14:56:45, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 29, Flipped 2869035041, [+] System running normally
2025-10-28 14:56:47, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 30, Flipped 3405905953, [+] System running normally
2025-10-28 14:56:51, Instruction: 0xffff800010ba66fc, Mem: 2332164129, Flipped bit 31, Flipped 184680481, [+] System running normally
2025-10-28 14:56:53, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 0, Flipped 2034239520, [+] System running normally
2025-10-28 14:56:57, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 1, Flipped 2034239523, [+] System running normally
2025-10-28 14:56:59, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 2, Flipped 2034239525, [+] System running normally
2025-10-28 14:57:01, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 3, Flipped 2034239529, [+] System running normally
2025-10-28 14:57:03, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 4, Flipped 2034239537, [+] System running normally
2025-10-28 14:57:05, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 5, Flipped 2034239489, [+] System running normally
2025-10-28 14:57:07, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 6, Flipped 2034239585, [+] System running normally
2025-10-28 14:57:09, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 7, Flipped 2034239649, [+] System running normally
2025-10-28 14:57:11, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 8, Flipped 2034239777, [+] System running normally
2025-10-28 14:57:13, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 9, Flipped 2034240033, [+] System running normally
2025-10-28 14:57:17, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 10, Flipped 2034240545, [+] System running normally
2025-10-28 14:57:19, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 11, Flipped 2034237473, [+] System running normally
2025-10-28 14:57:21, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 12, Flipped 2034243617, [+] System running normally
2025-10-28 14:57:23, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 13, Flipped 2034247713, [+] System running normally
2025-10-28 14:57:25, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 14, Flipped 2034255905, [+] System running normally
2025-10-28 14:57:27, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 15, Flipped 2034272289, [+] System running normally
2025-10-28 14:57:30, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 16, Flipped 2034305057, [+] System running normally
2025-10-28 14:57:32, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 17, Flipped 2034370593, [+] System running normally
2025-10-28 14:57:34, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 18, Flipped 2034501665, [+] System running normally
2025-10-28 14:57:36, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 19, Flipped 2034763809, [+] System running normally
2025-10-28 14:57:38, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 20, Flipped 2035288097, [+] System running normally
2025-10-28 14:57:40, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 21, Flipped 2036336673, [+] System running normally
2025-10-28 14:57:42, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 22, Flipped 2030045217, [+] System running normally
2025-10-28 14:57:44, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 23, Flipped 2042628129, [+] System running normally
2025-10-28 14:57:46, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 24, Flipped 2017462305, [+] System running normally
2025-10-28 14:57:48, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 25, Flipped 2067793953, [+] System running normally
2025-10-28 14:57:50, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 26, Flipped 2101348385, [+] System running normally
2025-10-28 14:57:52, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 27, Flipped 1900021793, [+] System running normally
2025-10-28 14:57:54, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 28, Flipped 1765804065, [+] System running normally
2025-10-28 14:57:56, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 29, Flipped 1497368609, [+] System running normally
2025-10-28 14:57:58, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 30, Flipped 960497697, [+] System running normally
2025-10-28 14:58:00, Instruction: 0xffff800010ba6700, Mem: 2034239521, Flipped bit 31, Flipped 4181723169, [+] System running normally
2025-10-28 14:58:02, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 0, Flipped 889193216, [+] System running normally
2025-10-28 14:58:04, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 1, Flipped 889193219, [+] System running normally
2025-10-28 14:58:06, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 2, Flipped 889193221, [+] System running normally
2025-10-28 14:58:08, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 3, Flipped 889193225, [+] System running normally
2025-10-28 14:58:10, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 4, Flipped 889193233, [+] System running normally
2025-10-28 14:58:12, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 5, Flipped 889193249, [+] System running normally
2025-10-28 14:58:14, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 6, Flipped 889193281, [+] System running normally
2025-10-28 14:58:16, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 7, Flipped 889193345, [+] System running normally
2025-10-28 14:58:20, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 8, Flipped 889192961, [+] System running normally
2025-10-28 14:58:22, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 9, Flipped 889192705, [+] System running normally
2025-10-28 14:58:24, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 10, Flipped 889194241, [+] System running normally
2025-10-28 14:58:28, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 11, Flipped 889195265, [+] System running normally
2025-10-28 14:58:30, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 12, Flipped 889197313, [+] System running normally
2025-10-28 14:58:32, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 13, Flipped 889201409, [+] System running normally
2025-10-28 14:58:34, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 14, Flipped 889209601, [+] System running normally
2025-10-28 14:58:36, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 15, Flipped 889225985, [+] System running normally
2025-10-28 14:58:38, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 16, Flipped 889258753, [+] System running normally
2025-10-28 14:58:40, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 17, Flipped 889324289, [+] System running normally
2025-10-28 14:58:42, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 18, Flipped 889455361, [+] System running normally
2025-10-28 14:58:44, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 19, Flipped 889717505, [+] System running normally
2025-10-28 14:58:46, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 20, Flipped 890241793, [+] System running normally
2025-10-28 14:58:48, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 21, Flipped 891290369, [+] System running normally
2025-10-28 14:58:50, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 22, Flipped 893387521, [+] System running normally
2025-10-28 14:58:52, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 23, Flipped 897581825, [+] System running normally
2025-10-28 14:58:54, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 24, Flipped 872416001, [+] System running normally
2025-10-28 14:58:56, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 25, Flipped 922747649, [+] System running normally
2025-10-28 14:58:58, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 26, Flipped 822084353, [+] System running normally
2025-10-28 14:59:00, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 27, Flipped 1023410945, [+] System running normally
2025-10-28 14:59:02, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 28, Flipped 620757761, [+] System running normally
2025-10-28 14:59:04, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 29, Flipped 352322305, [+] System running normally
2025-10-28 14:59:06, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 30, Flipped 1962935041, [+] System running normally
2025-10-28 14:59:08, Instruction: 0xffff800010ba6704, Mem: 889193217, Flipped bit 31, Flipped 3036676865, [+] System running normally
2025-10-28 14:59:10, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 0, Flipped 960626848, [+] System running normally
2025-10-28 14:59:12, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 1, Flipped 960626851, [+] System running normally
2025-10-28 14:59:14, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 2, Flipped 960626853, [+] System running normally
2025-10-28 14:59:16, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 3, Flipped 960626857, [+] System running normally
2025-10-28 14:59:18, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 4, Flipped 960626865, [+] System running normally
2025-10-28 14:59:22, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 5, Flipped 960626817, [+] System running normally
2025-10-28 14:59:26, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 6, Flipped 960626913, [+] System running normally
2025-10-28 14:59:28, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 7, Flipped 960626721, [+] System running normally
2025-10-28 14:59:30, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 8, Flipped 960627105, [+] System running normally
2025-10-28 14:59:32, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 9, Flipped 960627361, [+] System running normally
2025-10-28 14:59:34, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 10, Flipped 960627873, [+] System running normally
2025-10-28 14:59:36, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 11, Flipped 960628897, [+] System running normally
2025-10-28 14:59:38, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 12, Flipped 960630945, [+] System running normally
2025-10-28 14:59:40, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 13, Flipped 960635041, [+] System running normally
2025-10-28 14:59:42, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 14, Flipped 960643233, [+] System running normally
2025-10-28 14:59:44, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 15, Flipped 960659617, [+] System running normally
2025-10-28 14:59:47, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 16, Flipped 960692385, [+] System running normally
2025-10-28 14:59:49, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 17, Flipped 960495777, [+] System running normally
2025-10-28 14:59:51, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 18, Flipped 960888993, [+] System running normally
2025-10-28 14:59:53, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 19, Flipped 961151137, [+] System running normally
2025-10-28 14:59:55, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 20, Flipped 961675425, [+] System running normally
2025-10-28 14:59:57, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 21, Flipped 962724001, [+] System running normally
2025-10-28 14:59:59, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 22, Flipped 956432545, [+] System running normally
2025-10-28 15:00:01, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 23, Flipped 969015457, [+] System running normally
2025-10-28 15:00:03, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 24, Flipped 943849633, [+] System running normally
2025-10-28 15:00:05, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 25, Flipped 994181281, [+] System running normally
2025-10-28 15:00:07, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 26, Flipped 1027735713, [+] System running normally
2025-10-28 15:00:09, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 27, Flipped 826409121, [+] System running normally
2025-10-28 15:00:11, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 28, Flipped 692191393, [+] System running normally
2025-10-28 15:00:13, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 29, Flipped 423755937, [+] System running normally
2025-10-28 15:00:15, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 30, Flipped 2034368673, [+] System running normally
2025-10-28 15:00:19, Instruction: 0xffff800010ba6708, Mem: 960626849, Flipped bit 31, Flipped 3108110497, [+] System running normally
2025-10-28 15:00:21, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 0, Flipped 303760419, [+] System running normally
2025-10-28 15:00:25, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 1, Flipped 303760416, [+] System running normally
2025-10-28 15:00:29, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 2, Flipped 303760422, [+] System running normally
2025-10-28 15:00:31, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 3, Flipped 303760426, [+] System running normally
2025-10-28 15:00:33, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 4, Flipped 303760434, [+] System running normally
2025-10-28 15:00:35, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 5, Flipped 303760386, [+] System running normally
2025-10-28 15:00:37, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 6, Flipped 303760482, [+] System running normally
2025-10-28 15:00:39, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 7, Flipped 303760546, [+] System running normally
2025-10-28 15:00:41, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 8, Flipped 303760674, [+] System running normally
2025-10-28 15:00:43, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 9, Flipped 303760930, [+] System running normally
2025-10-28 15:00:45, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 10, Flipped 303759394, [+] System running normally
2025-10-28 15:00:47, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 11, Flipped 303762466, [+] System running normally
2025-10-28 15:00:49, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 12, Flipped 303764514, [+] System running normally
2025-10-28 15:00:51, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 13, Flipped 303768610, [+] System running normally
2025-10-28 15:00:53, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 14, Flipped 303776802, [+] System running normally
2025-10-28 15:00:55, Instruction: 0xffff800010ba670c, Mem: 303760418, Flipped bit 15, Flipped 303793186, [+] System running normally
