[  193.014793] BUG: scheduling while atomic: python3/494/0x00000000
[  193.067164] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.846000] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.849522] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.856099] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.863768] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.872471] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.876150] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.878650] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.879948] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.881364] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.884243] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.887279] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.890180] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.892471] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.894459] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.896690] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.897769] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.903305] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.904877] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.909674] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.911670] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.912882] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.914562] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.916735] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.920556] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.922127] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.924669] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.928450] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.930112] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.934438] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.935386] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.937613] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.937984] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.941135] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.946640] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.949788] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.952476] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.957185] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.960276] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.963929] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.967356] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.967968] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.968441] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.968862] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.969646] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.970101] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.974888] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.977604] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.984397] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.985206] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.986016] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.986482] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.987597] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.988697] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.991333] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.992090] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.993934] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.995261] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.995800] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.996349] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.998991] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  193.999551] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.000137] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.000914] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.001335] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.002126] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.003816] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.007739] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.015077] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.017080] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.023061] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.027644] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.032277] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.038639] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.044716] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.046166] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.051985] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.056064] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.061830] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.065667] BUG: scheduling while atomic: python3/494/0x00000000
[  194.068916] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.069041] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.069154] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.069265] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.069830] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.084567] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.093679] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.110578] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.111289] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.111661] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.112016] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.116858] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.120160] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.130528] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.140767] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.144031] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.148583] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.151841] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.160887] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.164706] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.172945] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.178788] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.187680] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.189271] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.191697] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.193233] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.198915] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.200004] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.205677] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.214821] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.222677] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.228127] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.231745] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.235210] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.236615] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.244820] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.251870] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.253684] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.265522] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.275102] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.280709] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.284130] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.288192] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.292367] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.296744] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.302092] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 00000100, exited with 000000ff?
[  194.317669] softirq: huh, entered softirq 2 NET_TX 000000004ba1831d with preempt_count 000
