2025-10-09 20:03:36, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 0, Flipped 4181729314, [+] System running normally
2025-10-09 20:14:40, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 13, Flipped 3019907940, [+] System running normally
2025-10-09 20:14:42, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 14, Flipped 3019916132, [+] System running normally
2025-10-09 20:14:46, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 15, Flipped 3019932516, [+] System running normally
2025-10-09 20:14:48, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 16, Flipped 3019965284, [+] System running normally
2025-10-09 20:14:50, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 17, Flipped 3020030820, [+] System running normally
2025-10-09 20:14:52, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 18, Flipped 3020161892, [+] System running normally
2025-10-09 20:14:54, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 19, Flipped 3020424036, [+] System running normally
2025-10-09 20:14:56, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 20, Flipped 3020948324, [+] System running normally
2025-10-09 20:14:58, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 21, Flipped 3021996900, [+] System running normally
2025-10-09 20:15:00, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 22, Flipped 3024094052, [+] System running normally
2025-10-09 20:15:04, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 23, Flipped 3028288356, [+] System running normally
2025-10-09 20:15:06, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 24, Flipped 3036676964, [+] System running normally
2025-10-09 20:15:08, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 25, Flipped 3053454180, [+] System running normally
2025-10-09 20:15:10, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 26, Flipped 2952790884, [+] System running normally
2025-10-09 20:15:14, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 27, Flipped 3154117476, [+] System running normally
2025-10-09 20:15:16, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 28, Flipped 2751464292, [+] System running normally
2025-10-09 20:15:20, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 29, Flipped 2483028836, [+] System running normally
2025-10-09 20:15:22, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 30, Flipped 4093641572, [+] System running normally
2025-10-09 20:15:24, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 31, Flipped 872416100, [+] System running normally
2025-10-09 20:15:26, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 0, Flipped 4181721218, [+] System running normally
2025-10-09 20:15:28, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 1, Flipped 4181721217, [+] System running normally
2025-10-09 20:15:30, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 2, Flipped 4181721223, [+] System running normally
2025-10-09 20:15:32, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 3, Flipped 4181721227, [+] System running normally
2025-10-09 20:15:36, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 4, Flipped 4181721235, [+] System running normally
2025-10-09 20:15:40, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 5, Flipped 4181721251, [+] System running normally
2025-10-09 20:15:42, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 6, Flipped 4181721283, [+] System running normally
2025-10-09 20:15:44, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 7, Flipped 4181721091, [+] System running normally
2025-10-09 20:15:46, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 8, Flipped 4181721475, [+] System running normally
2025-10-09 20:15:48, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 9, Flipped 4181721731, [+] System running normally
2025-10-09 20:15:50, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 10, Flipped 4181722243, [+] System running normally
2025-10-09 20:15:52, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 11, Flipped 4181723267, [+] System running normally
2025-10-09 20:15:54, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 12, Flipped 4181725315, [+] System running normally
2025-10-09 20:15:56, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 13, Flipped 4181729411, [+] System running normally
2025-10-09 20:15:58, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 14, Flipped 4181737603, [+] System running normally
2025-10-09 20:16:00, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 15, Flipped 4181753987, [+] System running normally
2025-10-09 20:16:02, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 16, Flipped 4181786755, [+] System running normally
2025-10-09 20:16:04, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 17, Flipped 4181852291, [+] System running normally
2025-10-09 20:16:06, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 18, Flipped 4181983363, [+] System running normally
2025-10-09 20:16:08, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 19, Flipped 4182245507, [+] System running normally
2025-10-09 20:16:10, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 20, Flipped 4182769795, [+] System running normally
2025-10-09 20:16:12, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 21, Flipped 4183818371, [+] System running normally
2025-10-09 20:16:14, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 22, Flipped 4177526915, [+] System running normally
2025-10-09 20:16:18, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 23, Flipped 4190109827, [+] System running normally
2025-10-09 20:16:20, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 24, Flipped 4164944003, [+] System running normally
2025-10-09 20:16:23, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 25, Flipped 4215275651, [+] System running normally
2025-10-09 20:16:25, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 26, Flipped 4248830083, [+] System running normally
2025-10-09 20:16:27, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 27, Flipped 4047503491, [+] System running normally
2025-10-09 20:16:29, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 28, Flipped 3913285763, [+] System running normally
2025-10-09 20:16:31, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 29, Flipped 3644850307, [+] System running normally
2025-10-09 20:16:33, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 30, Flipped 3107979395, [+] System running normally
2025-10-09 20:16:35, Instruction: 0xffff800010ba6304, Mem: 4181721219, Flipped bit 31, Flipped 2034237571, [+] System running normally
2025-10-09 20:16:37, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 0, Flipped 4043324542, [+] System running normally
2025-10-09 20:16:39, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 1, Flipped 4043324541, [+] System running normally
2025-10-09 20:16:41, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 2, Flipped 4043324539, [+] System running normally
2025-10-09 20:16:43, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 3, Flipped 4043324535, [+] System running normally
2025-10-09 20:16:45, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 4, Flipped 4043324527, [+] System running normally
2025-10-09 20:16:47, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 5, Flipped 4043324511, [+] System running normally
2025-10-09 20:16:49, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 6, Flipped 4043324479, [+] System running normally
2025-10-09 20:16:51, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 7, Flipped 4043324671, [+] System running normally
2025-10-09 20:16:53, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 8, Flipped 4043324799, [+] System running normally
2025-10-09 20:16:55, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 9, Flipped 4043325055, [+] System running normally
2025-10-09 20:16:57, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 10, Flipped 4043323519, [+] System running normally
2025-10-09 20:16:59, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 11, Flipped 4043322495, [+] System running normally
2025-10-09 20:17:01, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 12, Flipped 4043320447, [+] System running normally
2025-10-09 20:17:05, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 13, Flipped 4043316351, [+] System running normally
2025-10-09 20:17:07, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 14, Flipped 4043340927, [+] System running normally
2025-10-09 20:17:09, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 15, Flipped 4043357311, [+] System running normally
2025-10-09 20:17:11, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 16, Flipped 4043390079, [+] System running normally
2025-10-09 20:17:13, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 17, Flipped 4043455615, [+] System running normally
2025-10-09 20:17:15, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 18, Flipped 4043586687, [+] System running normally
2025-10-09 20:17:17, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 19, Flipped 4043848831, [+] System running normally
2025-10-09 20:17:19, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 20, Flipped 4044373119, [+] System running normally
2025-10-09 20:17:21, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 21, Flipped 4045421695, [+] System running normally
2025-10-09 20:17:23, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 22, Flipped 4047518847, [+] System running normally
2025-10-09 20:17:25, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 23, Flipped 4051713151, [+] System running normally
2025-10-09 20:17:27, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 24, Flipped 4026547327, [+] System running normally
2025-10-09 20:17:29, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 25, Flipped 4076878975, [+] System running normally
2025-10-09 20:17:31, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 26, Flipped 4110433407, [+] System running normally
2025-10-09 20:17:33, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 27, Flipped 4177542271, [+] System running normally
2025-10-09 20:17:35, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 28, Flipped 3774889087, [+] System running normally
2025-10-09 20:17:37, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 29, Flipped 3506453631, [+] System running normally
2025-10-09 20:17:39, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 30, Flipped 2969582719, [+] System running normally
2025-10-09 20:17:41, Instruction: 0xffff800010ba6308, Mem: 4043324543, Flipped bit 31, Flipped 1895840895, [+] System running normally
2025-10-09 20:17:43, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 0, Flipped 1409287016, [+] System running normally
2025-10-09 20:17:45, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 1, Flipped 1409287019, [+] System running normally
2025-10-09 20:17:49, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 2, Flipped 1409287021, [+] System running normally
2025-10-09 20:17:51, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 3, Flipped 1409287009, [+] System running normally
2025-10-09 20:17:53, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 4, Flipped 1409287033, [+] System running normally
2025-10-09 20:17:55, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 5, Flipped 1409286985, [+] System running normally
2025-10-09 20:17:57, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 6, Flipped 1409286953, [+] System running normally
2025-10-09 20:17:59, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 7, Flipped 1409287145, [+] System running normally
2025-10-09 20:18:01, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 8, Flipped 1409286761, [+] System running normally
2025-10-09 20:18:03, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 9, Flipped 1409286505, [+] System running normally
2025-10-09 20:18:05, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 10, Flipped 1409288041, [+] System running normally
2025-10-09 20:18:07, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 11, Flipped 1409289065, [+] System running normally
2025-10-09 20:18:09, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 12, Flipped 1409291113, [+] System running normally
2025-10-09 20:18:11, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 13, Flipped 1409295209, [+] System running normally
2025-10-09 20:18:13, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 14, Flipped 1409303401, [+] System running normally
2025-10-09 20:18:15, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 15, Flipped 1409319785, [+] System running normally
2025-10-09 20:18:17, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 16, Flipped 1409352553, [+] System running normally
2025-10-09 20:18:19, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 17, Flipped 1409418089, [+] System running normally
2025-10-09 20:18:21, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 18, Flipped 1409549161, [+] System running normally
2025-10-09 20:18:23, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 19, Flipped 1409811305, [+] System running normally
2025-10-09 20:18:25, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 20, Flipped 1410335593, [+] System running normally
2025-10-09 20:18:29, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 21, Flipped 1411384169, [+] System running normally
2025-10-09 20:18:31, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 22, Flipped 1413481321, [+] System running normally
2025-10-09 20:18:33, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 23, Flipped 1417675625, [+] System running normally
2025-10-09 20:18:35, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 24, Flipped 1426064233, [+] System running normally
2025-10-09 20:18:37, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 25, Flipped 1442841449, [+] System running normally
2025-10-09 20:18:41, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 26, Flipped 1342178153, [+] System running normally
2025-10-09 20:18:44, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 27, Flipped 1543504745, [+] System running normally
2025-10-09 20:18:46, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 28, Flipped 1140851561, [+] System running normally
2025-10-09 20:18:48, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 29, Flipped 1946157929, [+] System running normally
2025-10-09 20:18:50, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 30, Flipped 335545193, [+] System running normally
2025-10-09 20:18:54, Instruction: 0xffff800010ba630c, Mem: 1409287017, Flipped bit 31, Flipped 3556770665, [+] System running normally
2025-10-09 20:18:56, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 0, Flipped 2839779366, [+] System running normally
2025-10-09 20:18:58, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 1, Flipped 2839779365, [+] System running normally
2025-10-09 20:19:00, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 2, Flipped 2839779363, [+] System running normally
2025-10-09 20:19:02, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 3, Flipped 2839779375, [+] System running normally
2025-10-09 20:19:04, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 4, Flipped 2839779383, [+] System running normally
2025-10-09 20:19:06, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 5, Flipped 2839779335, [+] System running normally
2025-10-09 20:19:10, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 6, Flipped 2839779431, [+] System running normally
2025-10-09 20:19:12, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 7, Flipped 2839779495, [+] System running normally
2025-10-09 20:19:14, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 8, Flipped 2839779623, [+] System running normally
2025-10-09 20:19:16, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 9, Flipped 2839779879, [+] System running normally
2025-10-09 20:19:18, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 10, Flipped 2839780391, [+] System running normally
2025-10-09 20:19:20, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 11, Flipped 2839777319, [+] System running normally
2025-10-09 20:19:24, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 12, Flipped 2839775271, [+] System running normally
2025-10-09 20:19:26, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 13, Flipped 2839787559, [+] System running normally
2025-10-09 20:19:28, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 14, Flipped 2839795751, [+] System running normally
2025-10-09 20:19:30, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 15, Flipped 2839746599, [+] System running normally
2025-10-09 20:19:34, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 16, Flipped 2839713831, [+] System running normally
2025-10-09 20:19:36, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 17, Flipped 2839648295, [+] System running normally
2025-10-09 20:19:38, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 18, Flipped 2840041511, [+] System running normally
2025-10-09 20:19:42, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 19, Flipped 2840303655, [+] System running normally
2025-10-09 20:19:44, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 20, Flipped 2840827943, [+] System running normally
2025-10-09 20:19:46, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 21, Flipped 2841876519, [+] System running normally
2025-10-09 20:19:48, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 22, Flipped 2835585063, [+] System running normally
2025-10-09 20:19:50, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 23, Flipped 2848167975, [+] System running normally
2025-10-09 20:19:52, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 24, Flipped 2823002151, [+] System running normally
2025-10-09 20:19:54, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 25, Flipped 2873333799, [+] System running normally
2025-10-09 20:19:56, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 26, Flipped 2906888231, [+] System running normally
2025-10-09 20:19:58, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 27, Flipped 2705561639, [+] System running normally
2025-10-09 20:20:00, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 28, Flipped 3108214823, [+] System running normally
2025-10-09 20:20:02, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 29, Flipped 2302908455, [+] System running normally
2025-10-09 20:20:04, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 30, Flipped 3913521191, [+] System running normally
2025-10-09 20:20:06, Instruction: 0xffff800010ba6310, Mem: 2839779367, Flipped bit 31, Flipped 692295719, [+] System running normally
2025-10-09 20:20:08, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 0, Flipped 3406233732, [+] System running normally
2025-10-09 20:20:10, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 1, Flipped 3406233735, [+] System running normally
2025-10-09 20:20:12, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 2, Flipped 3406233729, [+] System running normally
2025-10-09 20:20:14, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 3, Flipped 3406233741, [+] System running normally
2025-10-09 20:20:16, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 4, Flipped 3406233749, [+] System running normally
2025-10-09 20:20:18, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 5, Flipped 3406233765, [+] System running normally
2025-10-09 20:20:20, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 6, Flipped 3406233797, [+] System running normally
2025-10-09 20:20:22, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 7, Flipped 3406233605, [+] System running normally
2025-10-09 20:20:24, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 8, Flipped 3406233989, [+] System running normally
2025-10-09 20:20:26, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 9, Flipped 3406234245, [+] System running normally
2025-10-09 20:20:28, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 10, Flipped 3406234757, [+] System running normally
2025-10-09 20:20:30, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 11, Flipped 3406235781, [+] System running normally
2025-10-09 20:20:32, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 12, Flipped 3406237829, [+] System running normally
2025-10-09 20:20:36, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 13, Flipped 3406241925, [+] System running normally
2025-10-09 20:20:38, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 14, Flipped 3406250117, [+] System running normally
2025-10-09 20:20:40, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 15, Flipped 3406266501, [+] System running normally
2025-10-09 20:20:42, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 16, Flipped 3406168197, [+] System running normally
2025-10-09 20:20:46, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 17, Flipped 3406102661, [+] System running normally
2025-10-09 20:20:48, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 18, Flipped 3405971589, [+] System running normally
2025-10-09 20:20:52, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 19, Flipped 3406758021, [+] System running normally
2025-10-09 20:20:54, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 20, Flipped 3407282309, [+] System running normally
2025-10-09 20:20:56, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 21, Flipped 3408330885, [+] System running normally
2025-10-09 20:20:58, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 22, Flipped 3410428037, [+] System running normally
2025-10-09 20:21:00, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 23, Flipped 3414622341, [+] System running normally
2025-10-09 20:21:02, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 24, Flipped 3389456517, [+] System running normally
2025-10-09 20:21:04, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 25, Flipped 3372679301, [+] System running normally
2025-10-09 20:21:06, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 26, Flipped 3473342597, [+] System running normally
2025-10-09 20:21:08, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 27, Flipped 3272016005, [+] System running normally
2025-10-09 20:21:10, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 28, Flipped 3674669189, [+] System running normally
2025-10-09 20:21:12, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 29, Flipped 3943104645, [+] System running normally
2025-10-09 20:21:14, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 30, Flipped 2332491909, [+] System running normally
2025-10-09 20:21:16, Instruction: 0xffff800010ba6314, Mem: 3406233733, Flipped bit 31, Flipped 1258750085, [+] System running normally
2025-10-09 20:21:19, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 0, Flipped 3406102724, [+] System running normally
2025-10-09 20:21:21, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 1, Flipped 3406102727, [+] System running normally
2025-10-09 20:21:23, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 2, Flipped 3406102721, [+] System running normally
2025-10-09 20:21:27, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 3, Flipped 3406102733, [+] System running normally
2025-10-09 20:21:29, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 4, Flipped 3406102741, [+] System running normally
2025-10-09 20:21:33, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 5, Flipped 3406102757, [+] System running normally
2025-10-09 20:21:35, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 6, Flipped 3406102661, [+] System running normally
2025-10-09 20:21:37, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 7, Flipped 3406102597, [+] System running normally
2025-10-09 20:21:39, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 8, Flipped 3406102981, [+] System running normally
2025-10-09 20:21:41, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 9, Flipped 3406103237, [+] System running normally
2025-10-09 20:21:43, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 10, Flipped 3406103749, [+] System running normally
2025-10-09 20:21:45, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 11, Flipped 3406104773, [+] System running normally
2025-10-09 20:21:49, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 12, Flipped 3406106821, [+] System running normally
2025-10-09 20:21:51, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 13, Flipped 3406110917, [+] System running normally
2025-10-09 20:21:55, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 14, Flipped 3406119109, [+] System running normally
2025-10-09 20:21:57, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 15, Flipped 3406135493, [+] System running normally
2025-10-09 20:21:59, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 16, Flipped 3406037189, [+] System running normally
2025-10-09 20:22:03, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 17, Flipped 3406233797, [+] System running normally
2025-10-09 20:22:05, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 18, Flipped 3405840581, [+] System running normally
2025-10-09 20:22:09, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 19, Flipped 3406627013, [+] System running normally
2025-10-09 20:22:11, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 20, Flipped 3407151301, [+] System running normally
2025-10-09 20:22:13, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 21, Flipped 3408199877, [+] System running normally
2025-10-09 20:22:15, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 22, Flipped 3410297029, [+] System running normally
2025-10-09 20:22:17, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 23, Flipped 3414491333, [+] System running normally
2025-10-09 20:22:19, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 24, Flipped 3389325509, [+] System running normally
2025-10-09 20:22:21, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 25, Flipped 3372548293, [+] System running normally
2025-10-09 20:22:25, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 26, Flipped 3473211589, [+] System running normally
2025-10-09 20:22:29, Instruction: 0xffff800010ba6318, Mem: 3406102725, Flipped bit 27, Flipped 3271884997, [+] System running normally
